Serial,English,Pronunciation,Bangla,POS
1446,particular,পার্টিকুলার,বিশেষ,adj
1447,pass,পাস,পাস করা,v
1448,passenger,প্যাসেঞ্জার,যাত্রী,n
1449,past,পাস্ট,অতীত,adv.
1450,patient,পেশেন্ট,- রোগী,n
1451,pattern,প্যাটান,প্যাটান,n
1452,pay,পে,বেতন,n
1453,peace,পপিস,শান্তি,n
1454,penny,পেনি,পেনি,n
1455,per,পার,প্রতি,prep
1459,permission,পারমিশন,- অনুমতি,n
1461,pet,পেট,পোষা প্রাণী,n
24,amazing,অ্যামেজিং,আশ্চর্যজনক,adj
25,and,অ্যান্ড,এবং,conj
61,beach,বিচ,সমুদ্র সৈকত,n
26,angry,অ্যাংরি,রাগান্বিত,adj
62,beautiful,বিউটিফুল,সুন্দর,adj
27,animal,অ্যানিমেল,প্রাণী,n
63,because,বিকজ,কারণ,conj
28,another,অ্যানাদার,অন্য একটি,det  pron
64,become,বিকাম,"হওয়া, পরিণত হওয়া",v
29,answer,অ্যানসার,উত্তর (n ); উত্তর দেওয়া,v
65,bed,বেড,বিছানা,n
30,any,এনি,"যেকোনো, কিছু","det , pron"
66,bedroom,বেডরুম,শোবার ঘর,n
31,anyone,এনিওয়ান,যে কেউ,pron
67,beer,বিয়ার,- বিয়ার,n
32,anything,এনিথিং,যেকোনো কিছু,pron
68,before,বিফোর,"আগে, পূর্বে",prep
33,apartment,অ্যাপার্টমেন্ট,"অ্যাপার্টমেন্ট, ফ্ল্যাট",n
69,begin,বিগিন,শুরু করা,v
34,apple,অ্যাপল,আপেল,n
70,beginning,বিগিনিং,"শুরু, আরম্ভ",n
35,April,এপ্রিল,এপ্রিল,n
71,behind,বিহাইন্ড,পেছনে,"prep , adv"
36,area,এরিয়া,এলাকা,n
72,believe,বিলিভ,বিশ্বাস করা,v
37,arm,আর্ম,"বাহু, হাত",n
73,below,বিলো,নিচে,"adv , prep"
38,around,অ্যারাউন্ড,চারপাশে,"prep , adv"
74,best,বেস্ট,"সেরা, সবোত্তম",adj
39,arrive,অ্যারা ইভ,পৌঁছানো,v
75,better,বেটার,ভালো (তুলনামূলক),adj
40,art,আর্ট,শিল্প,n
76,between,বিটুইন,"মাঝে, দুইয়ের মধ্যে",prep
41,article,আর্টিকেল,প্রবন্ধ,n
77,bicycle,বাইসাইকেল,সাইকেল,n
42,artist,আর্টিস্ট,শিল্পী,n
78,big,বিগ,বড়,adj
43,as,অ্যাজ,হিসাবে,prep
79,bike,বাইক,"বাইক;, সাইকেল",n
44,ask,আস্ক,জিজ্ঞাসা করা,v
80,bill,বিল,"বিল, চালান",n
45,at,অ্যাট,"এ, তে",prep
81,bird,বার্ড,পাখি,n
46,August,অগাস্ট,আগস্ট,n
82,birthday,বার্থডে,জন্মদিন,n
47,aunt,আন্ট,"খালা, ফুপু; মাসি, পিসি",n
83,black,ব্ল্যাক,কালো,"adj , n."
48,autumn,অটাম,শরংকাল,n
84,blog,ব্লগ,ব্লগ,n
49,away,অ্যাওয়ে,দূরে,adv
85,blonde,ব্লন্ড,সোনালী ঢুলের,adj
50,baby,বেবি,শিশু,n
86,blue,ব্লু,নীল,"adj , Il."
51,back,ব্যাক,পিঠ (n ); পিছনে,adv
87,boat,বোট,নৌকা,n
52,bad,ব্যাড,খারাপ,adj
88,body,বডি,শরীর,n
53,bag,ব্যাগ,ব্যাগ,n
54,ball,বল,বল,n
90,boot,বুট,বুট (জুতো),n
55,banana,ব্যানানা,কলা,n
91,bored,বোরড,- বিরক্ত (অনুভূতি),adj
56,band,ব্যান্ড,ব্যান্ড,n
92,boring,বোরিং,বিরক্তিকর,adj
57,bank,money,(ব্যাংক) ব্যাংক,n
93,born,বর্ন,জন্ম নেওয়া,v
58,bath,বাথ,গোসল,n
94,both,বোথ,"- উভয়, দুজনই",det  pron
59,bathroom,বাথরুম,গোসলখানা (n) Facebook Biborno Sahin,01726505437
1462,petrol,পেট্রোল,পেট্রোল,n
1463,photograph,ফটোগ্রাফ,ছবি তোলা (adj.),V.
1496,professor,প্রফেসর,অধ্যাপক,n
1464,physical,ফিজিকাল,শারীরিক,adj
1497,profile,প্রোফাইল,প্রোফাইল,n
1465,physics,ফিজিক্স,পদাথবিজ্ঞান,n
1498,program,প্রোগ্রাম,প্রোগ্রাম,n
1466,pick,পিক,তোলা,v
1499,progress,প্রোগ্রেস,অগ্রগতি,n
1467,pilot,পাইলট,পাইলট,n
1468,planet,প্ল্যানেট,গ্রহ (n) দেওয়া,"V,n:"
1469,plant,প্ল্যান্ট,রোপণ করা,v
1471,plate,প্লেট,প্লেট,n
1502,protect,প্রোটেক্ট,রক্ষা করা,v
1472,platform,প্ল্যাটফরম,প্ল্যাটফম,n
1474,pleased,প্লিজড,সন্তুষ্ট (adj ) পাব,n
1475,pocket,পকেট,পকেট,n
1476,polite,পোলাইট,ভদ্র (adj ) জনসাধারণ,"adj , n:"
1506,publish,পাবলিশ,প্রকাশ করা (v) দূষণ (n ) পপ সঙ্গীত,"n , adj"
1507,pull,পুল,টানা,v.
1508,purpose,পারপাস,উদ্দেশ্য,n
1510,quality,কোয়ালিটি,গুণ,n
1511,quantity,কোয়ান্টিটি,পরিমাণ,n
1482,possibility,পসিবিলিটি,সম্ভাবনা,n
1512,queen,কুইন,রাণী,n
1483,poster,পোস্টার,পোস্টার,n
1513,question,কোয়েশ্চেন,প্রশ্ন করা,v
1484,power,পাওয়ার,ক্ষমতা,n
1485,predict,প্রেডিক,অনুমান করা (v),adv.
1486,present,প্রেজেন্ট,উপস্থাপন করা,v
1516,railway,রেলওয়ে,রেলপথ,n
1488,prevent,প্রিভেন্ট,প্রতিরোধ করা,v
1517,raise,রেইজ,- উত্তোলন করা,v
1489,print,প্রিন্ট,প্রিন্ট করা,v
1518,rate,রেরট,হার,n
1490,printer,প্রিন্টার,প্রিন্টার,n
1519,rather,রাদার,বরং,adv
1491,prison,প্রিজন,তেলখানা,n
1520,reach,রচ,পোঁছানো,v.
1492,prize,প্রাইজ,পুরস্কার,n
1493,process,প্রসেস,প্রক্রিয়া (n),V.
1522,realize,রিয়েলিজ,উপলব্ধি করা (v),V.
1523,receive,রিসিভ,গ্রহণ করা (v) Facebook Biborno Sahin,01726505437
1524,recent,রিসেন্ট,সাম্প্রতিক,adj
1525,recently,রিসেন্টলি,সম্প্রতি,adv
1526,reception,রিসেপশন,অভ্যথনা,n
1527,recipe,রেসিপি,রেসিপি,n
1528,recognize,রেকগনাইজ,চিনতে পারা,V.
1529,recommend,রিকমেন্ড,সুপারিশ করা,V.
1530,record,রকর্ড,রেকর্ড; রেকর্ড করা,"1., V."
1531,recording,রেকর্ডিং,রেকরডিং,n
1532,recycle,রিসাইকেল,- পুনর্ব্যবহার করা,V.
1533,reduce,রিডিউস,কমানো,v
1534,refer,রিফার,উল্লেখ করা,v.
1535,refusel,রিফিউজ,প্রত্যখখ্যান করা,V.
1536,region,রিজিওন,অঞচল,n
1537,regular,রেগুলার,নিয়়মিত,adj
1539,remove,রিমুভ,অপসারণ করা,v
1540,repair,রিপেয়ার,মেরামত করা,v
1541,replace,রিপ্লেস,প্রতিস্থাপন করা,v
1542,reply,রিপ্লাই,উত্তর; উত্তর দেওয়া,"v , I1."
1543,report,রিপোর্ট,- রিপোর্ট করা,v
1544,reporter,রিপোর্টার,প্রতিবেদক,n
1545,request,রিকোয়েস্ট,অনুরোধ,n
1546,research,রিসাচ,গবেষণা; গবেষণা করা,"n, V."
1547,researcher,রিসাচর,গবেষক,n
1548,respond,রেসপন্ড,সাড়া দেওয়া,v
1549,response,রেসপন্স,প্রতিক্রিয়া,n
1550,resti,রেস্ট,অবশিষ্ট অংশ (remaining part),n
1551,rest-,রেস্ট,বিশ্রান; বিশ্রান করা (sleep relax),"n , V."
1552,review,রিভিউ,পযালোচনা; পযালোচনা করা,"n , v"
1553,ride,রাইড,রাইড,n
1554,ringl,রিং,আংটি,n
1555,ring-,রিং,রিং করা,v
1556,rise,রাইজ,ওঠা,v
1557,rock1,রক,পাথর (stone),n
1558,rock-,রক,রক সঙ্গীত (music),n
1559,role,ররল,ভূমিকা,n
1560,roof,রুফ,ছাদ,n
1561,round,রাউন্ড,গোলাকার,"adj , adv , prep"
1562,route,রুট,পথ,n
1563,rubbish,রাবিশ,আবজনা,n
1564,rude,রুড,অভদ্র,adj
1565,run,রান,দৌড়,n
1566,runner,রানার,দৌড়বিদ,n
1567,running,রানিং,দৌড়ানো,n
1568,sadly,স্যাডলি,দুঃখের সাথে,adv
1569,safe,সেইফ,নিরাপদ,adj
1570,sail,সেইল,পাল তোলা,v
1571,sailing,সেইলিং,পালতোলা,n
1572,salary,স্যালারি,বেতন,n
1573,sale,সেল,বিক্রয়,n
1574,sauce,সস,সস,n
1575,save,সেইভ,বাঁচানো,v
1576,scared,স্কেয়ার্ড,ভীত,adj
1577,scary,স্কেয়ারি,ভীতিকর,adj
1578,scene,সিন,দশ্য,n
1579,schedule,শিডিউল,সময়সূটী,n
1581,screen,স্ক্রিণ,পদা,n
1582,search,সাচ,অনুসন্ধান; অনুসন্ধান করা,"n, V"
1583,season,সিজন,ঋতু,n
1584,seat,সিট,আসন,n
1585,second|,সেকেন্ড,দ্বিতীয় (next after the first),adv
1587,secret,সিক্রেট,গোপন; গোপনীয়,"adj ,n."
1588,secretary,সক্রেটারি,সচিব,n
1589,seem,সিন,মনে হওয়া,v
1590,sense,সেন্স,অনুভূতি,n
1591,separate,সেপারেট,পৃথক,adj
1592,series,সিরিজ,ধারাবাহিক,n
1593,serious,সিরিয়াস,গুরুতর,adj
1594,serve,সাভ,পরিবেশন করা,v
1595,service,সাভিস,পরিষেবা,n
1596,several,সেভারাল,বেশ কিছু,det  pron
1597,shake,শেক,ঝাঁকানো,v.
1598,shall,শ্যাল,উচিত,modal v
1599,shape,শেপ,- আকৃতি,n
1600,sheet,শিট,সাদর; পাতা,n
1601,ship,শিপ,জাহাজ,n:
1602,shoulder,শোল্ডার,কাঁধ,n
1603,shout,শাউট,চিংকার করা; ঢিংকার,V. Il.
1604,shut,শাট,বন্ধ করা; বন্ধ,"V , adj"
1606,sign,সাইন,চিহ্ন; স্বাক্ষর করা,"n , v"
1607,silver,সিলভার,রূপা; রূপালী,"n , adj"
1608,simple,সিম্পল,সরল,adj
1609,since,সিপ্স,যেহেতু,"prep , conj"
1610,singing,সিংগিং,গান গাওয়া,n
1611,single,সিঙ্গেল,একক,"adj ,n"
1612,sir,স্যার,স্যার,n
1613,site,সাইট,সাইট; স্থান,n
1614,size,সাইত,আকার,n
1615,ski,স্কি,স্কি করা; স্কি,"v , adj , n"
1616,skiing,স্কিয়িং,স্কিইং,n
1617,skin,স্কিণ,ত্বক,n
1618,sky,স্কাই,আকাশ,n
1619,sleep,স্লিপ,ঘুম,n
1620,slowly,স্লোলি,ধীরে ধীরে,adv
1621,smartphone,স্মার্টফোন,স্মাটফোন,n.
1622,smell,সমেল,গন্ধ; গন্ধ নেওয়া,"V.,n:"
1623,smile,স্মাইল,হাসি; হাসা,"v,n:"
1625,smoking,সমোকিং,ধমপান,n
1626,soap,সোপ,সাবান,n
1627,soccer,সকার,সকার,n
1628,social,সোশ্যাল,সামাজিক,adj
1629,society,সোসাইটি,সমাজ,n
1630,sock,সক,মোজা,n
1631,soft,সফট,নরম,adj
1632,soldier,সলজার,সৈনিক,n
1633,solution,সলিউশন,সমাধান,n
1634,solve,সল্ভ,সমাধান করা,v
1636,sort,সট,প্রকার,n
1637,source,সােস,উৎস,n
1638,speaker,স্পিকার,স্পিকার,n
1639,specific,স্পেসিফিক,নিদিষ্ট,adj
1640,speech,স্পিচ,বক্তৃতা,n
1641,speed,স্পিড,গতি,n
1642,spider,স্পাইডার,মাকড়সা,n
1643,spoon,স্পন,চম,n
1676,surprising,সারপ্রাইজিং,"আশ্চযযজনক (adj., 1. )",adj.
1645,stage,স্্টেজের,মঞ,n
1677,survey,সাভে,জরিপ,n
1646,stair,স্টেয়ার,- সিঁড়ি,n
1678,sweet,সুইট,মিষ্টি,"adj , n"
1647,stamp,স্ট্যাম্প,স্ট্যাম্প,n
1679,symbol,সিম্বল,প্রতীক,n
1648,star,স্টার,তারকা হওয়া,v
1680,system,সিস্টেম,সিস্টেম,n
1649,start,স্টাট,শুরু,n
1681,tablet,ট্যাবলেট,ট্যাবলেট,n
1650,state,স্টেট,রাজ্য; অবস্থা,n
1682,talk,টক,কথা বলা,n:
1651,stay,স্টে,থাকা,n
1683,target,টাগেট,লক্ষ্য,n
1652,steal,স্টিল,চুরি করা,v.
1684,task,টাস্ক,কাজ,n
1653,step,স্্টেপ,পদক্ষেপ,n
1655,stone,স্টোন,পাথর,n
1686,teaching,টিচিং,শিক্ষাদান,n
1656,store,স্্টোর,দোকান,n
1687,technology,টেকনোলজি,প্রযুক্তি,n
1657,storm,স্টম,ঝড়,n
1658,straight,স্স্ট্রেট,"সোজা (adv , adj )",adj.
1660,strategy,স্ট্র্যাটেজি,কৌশল,n
1690,term,টান,মেয়াদ; শব্দ,n
1661,stress,স্সট্রেস,চাপ; সাপ দেওয়া,"n., V."
1691,text,টেক্সট,টেক্সট করা,v
1662,structure,স্ট্রাকচার,কাঠামো,n
1663,stupid,স্টুপিড,বোকা (adj ) নিজেরা,pron
1664,succeed,সাকসিড,সফল হওয়া,v
1693,thick,থিক,পুরু,adj
1665,successful,সাকসেসফুল,সফল,adj
1666,such,সাচ,এমন,det  pron:
1695,thin,থিন,পাতলা,adj
1667,suddenly,সাডেনলি,হঠাং,adv
1696,thinking,থিংকিং,চিন্তা,n
1668,suggest,সাজেস্ট,প্রস্তাব করা,v
1697,third,থারড,তৃতীয়,n
1669,suggestion,সাজেশন,প্রস্তাব,n
1698,thought,থট,চিন্তা,n
1670,suit,সুট,স্ুট,n
1699,throw,থ্রো,নিক্ষেপ করা,v
1700,tidy,টাইডি,"পরিপাটি; পরিপাটি করা (V.,n.)","adj , V."
1672,suppose,সাপোজ,মনে করা,v
1701,tie,টাই,বাঁধা; টাই,"v ,n"
1673,sure,শিওর,নিশ্চিত,adv.
1702,tip,টিপ,- টিপস; ডগা,n
1703,tool,টুল,সরগ্জাম (n) করা,"n, V"
1704,top,টপ,শীষ; উপরের,"n , adj"
1705,touch,টাচ,স্পশ করা (v) (adj.) Facebook Biborno Sahin,01726505437
1706,tour,ট্যুর,প্রমণ,n
1707,tourism,ট্যুরিজম,পযটন,n
1708,towards,টোয়াডস,দিকে,prep
1709,towel,টাওয়েল,তোয়ালে,n:
1710,tower,টাওয়ার,টাওয়ার,n
1711,toy,টয়,খেলনা,"n , adj"
1712,track,ট্র্যাক,ট্র্যাক,n
1713,tradition,ট্রাডিশন,ঐতিহ্য,n
1714,traditional,ট্রাডিশনাল,ঐতিহ্যবাহী,adj
1715,train,ট্রেন,প্রশিক্ষণ দেওয়া,v
1716,trainer,ট্রেনার,প্রশিক্ষক,n
1717,training,ট্রেনিং,প্রশিক্ষণ,n
1718,transport,ট্রান্সপোর্ট,পরিবহন,n
1719,traveller,ট্রাভেলার,ভ্রমণকারী,n
1720,trouble,ট্রাবল,ঝামেলা,n
1721,truck,ট্রাক,ট্রাক,n
1722,twin,টুইন,যমজ,"n, adj"
1723,typical,টিপিকাল,সাধারণ,adj
1725,understanding,আন্ডারস্ট্যান্ডিং,বঝাপড়া,n
1726,unfortunately,আনফরচুনেটলি,দুভাগ্যক্রমে,adv
1727,unhappy,আনহ্যাপি,- অসুখী,adj
1728,uniform,ইউনিফম,ইউনিফম,n
1729,unit,ইউনিট,একক,n
1730,united,ইউনাইটেড,একত্রিত,adj
1731,unusual,আনইউজুয়াল,- অস্বাভাবিক,adj.
1732,upstairs,আপস্টেয়ারস,উপরে,adv
1733,use,ইউজ,ব্যবহার,n
1735,user,ইউজার,ব্যবহারকারী,n
1736,usual,ইউজুয়়াল,- স্বাভাবিক,adj
1737,valley,ভ্যালি,উপত্যকা,n
1738,van,ভ্যান,ভ্যান,n
1739,variety,ভ্যারাইটি,বিভিন্নতা,n
1740,vehicle,ভেহিকেল,যানবাহন,n:
1741,view,ভিউ,দৃশ্য,n
1742,virus,ভাইরাস,ভাইরাস,n
1743,voice,ভয়েস,কণ্ঠস্বর,n
1744,wait,ওয়েট,অপেক্ষা,n
1745,War,ওয়ার,যুদ্ধ,n
1746,wash,ওয়াশ,ধোয়া,n
1747,washing,ওয়াশিং,ধোযা,n
1748,wave,ওয়েভ,ঢেউ,n
1749,weak,উইক,দুবল,adj
1750,web,ওয়েব,ওযয়েব,n
1751,wedding,ওয়েডিং,বিবাহ,n
1752,weight,ওয়েট,ওজন,n
1753,welcome,ওয়েলকাম,স্বাগত,n
1754,wet,ওয়েট,ভেজা,adj
1755,wheel,হুইল,চাকা,n
1756,while,হোয়াইল,যখন,conj
1757,whole,হোেল,সম্পূ্ণ,adj
1758,whose,হুজ,কার,det  pron
1759,wide,ওয়াইত,প্রশস্ত,adj
1760,wild,ওয়াইল্ড,বন্য,adj
1761,wind,উইন্ড,বাতাস,n:
1762,winner,উইনার,বিজয়ী,n:
1763,wish,উইশ,- ইচ্ছা; ইচ্ছা করা,"v.,n"
1764,wood,উড,কাঠ,n
1765,wooden,উডেন,কাঠের,adj
1766,working,ওয়ার্কিং,কর্মরত,adj
1767,worried,ওয়ারিড,চিন্তিত,adj
1768,worry,ওযারি,চিন্তা করা,v
1769,Worse,ওয়াস,আরও খারাপ,adj
1770,worst,ওয়া্স্ট,সবচেযে খারাপ,adj
1771,wow,ওয়াও,ওয়াও,exclam
1772,yer,ইয়েট,এখনও (adv) অ্যালকোহলযুক্ত,adj
1799,alternative,অল্টারণেটিভ,বিকল্প (pron),adj.
1774,zero,জিরো,শূন্য,number
1800,amazed,অ্যামেজড,বিস্মিত,adj
1801,ambition,অ্যাম্বিশন,উচ্াকাঙ্ক্ষা (n),adv
1776,academic,একাডেমিক,একাডেোমিক (adj.),adj.
1804,analysis,অ্যানালাইসিস,বিশ্লেষণ,n
1805,announce,অ্যানাউন্স,ঘোষণা করা বাসস্থান (n),V.
1779,account,অ্যাকাউন্ট,- হিসাব,n
1780,achievement,অ্যাচিভমেন্ট,অজন ঘোষণা (n),n.
1807,annoy,অ্যানয়,বিরক্ত করা,v
1781,act,অ্যাক,কাজ,n
1808,annoyed,অ্যানয়েড,বিরক্ত,adj
1782,ad,অ্যাড,বিজ্ঞাপন,n
1783,addition,অ্যাডিশন,যোগ (n:),adj.
1810,apart,আপাট,আলাদা (adv),V.
1785,admit,অ্যাডমিট,ভতি করা; স্বীকার চাওয়া (v) করা,v
1786,advanced,অ্যাডভানসড,উন্নত (adj ),n.
1813,appointment,অ্যাপয়েন্টমেন্ট,(V.) অ্যাপয়েন্টমেন্ট,n
1788,afford,অ্যাফোড,সামথ্য থাকা,v
1789,age,এইজ,বয়স বাড়া (v) করা,v
1790,aged,এইজড,বয়স্ক,adj
1791,agent,এজেন্ট,প্রতিনিধি (n),adv
1792,agreement,এগ্রিমেন্ট,চুক্তি,n
1793,ahead,অ্যাহেড,সামনে (adv),"V.,11."
1794,aim,এইম,আগমন (n) লক্ষ্য; লক্ষ্য করা,"V,n"
1795,alarm,অ্যালাম,অ্যালাম,n
1818,assignment,অ্যাসাইনমেন্ট,অ্যাসাইনমেন্ট,n:
1796,album,অ্যালবাম,অ্যলবাম,n
1797,alcohol,অ্যালকোহল,অ্যালকোল সাহায্য করা (v) (1. Facebook Biborno Sahin,01726505437
1820,atmosphere,অ্যাটমোস্কফিয়ার,বায়ুমণ্ডল,n
1821,attach,অ্যাটাচ,সংযুক্ত করা,v
1822,attitude,অ্যাটিটিউড,মনোভাব,n
1823,attract,অ্যাট্রাক,আকর্ষণ করা,v
1824,attraction,অ্যাট্রাকশন,আকষণ,n
1825,authority,অথরিটি,কতৃপক্ষ,n
1826,average,অ্যাভারেজ,গড়,v.
1827,award,অ্যাওয়াড,পুরস্কার; পুরস্কার দেওয়া,v
1828,aware,অ্যাওয়ার,সচেতন,adj
1829,backwards,ব্যাকওয়াডস,পিছনের দিকে,adv
1830,bake,বেক,সেঁকা,v
1831,balance,ব্যালেন্স,সরসাম্য; ভারসাম্য বজায় রাখা,"n, V"
1832,ban,ব্যান,নিষেধাজ্ঞা; নিষিদ্ধ করা,"V., n1."
1833,bank,ব্যাংক,নদীর তীর (river),n
1834,base,বেস,ভিত্তি; ভিত্তি স্থাপন করা,"11., V."
1835,basic,বেসিক,মৌলিক,adj
1836,basis,বেসিস,ভিত্তি,n
1837,battery,ব্যাটারি,ব্যাটারি,n
1838,battle,ব্যাটল,যুদ্ধ,n
1839,beauty,বিউটি,সৌন্দর্য,n
1840,bee,বি,মোমাছি,n
1841,belief,বিলিফ,বিশ্বাস,n
1842,bell,বেল,ঘণ্টা,n
1843,bend,বেন্ড,বাঁকানো; বাঁক,"v.,n."
1844,benefit,বেনিফিট,উপকার,v
1845,better,বেটার,আরও ভালো,n
1846,bite,বাইট,কামড়; কামড়ানো,"V.,n"
1847,block,ব্লক,ব্লক; বন্ধ করা,"n, V"
1848,board,বোড,বোডে ওঠা,v
1850,border,বর্ডার,- সীমান্ত,n
1851,bother,বদার,বিরক্ত করা,v.
1852,branch,ব্রাঞ,শাখা,n
1854,brave,ব্রেভ,সাহসী,adj
1855,breath,ব্রেথ,শ্বাস,n
1856,breathe,বরিদ,শ্বাস নেওয়া,v
1857,breathing,ব্রিদিং,শ্বাস-প্রশ্বাস,n
1858,bride,ব্রাইড,- নববধূ,n
1859,bubble,বাবল,বুদবুদ,n
1860,bury,বেরি,কবর দেওয়া,v
1861,by,বাই,দারা,adv
1863,campaign,ক্যাম্পেইন,অভিযান; অভিযান চালানো,"n , V"
1864,campus,ক্যাম্পাস,ক্যাম্পাস,n
1865,candidate,ক্যান্ডিডেট,প্রার্থী,n
1866,cap,ক্যাপ,টুপি,n
1867,captain,ক্যাপ্টেন,ক্যাপ্টেন,n
1868,careless,কেয়ারলেস,অসাবধান,adj.
1869,category,ক্যাটাগরি,- বিভাগ,n
1870,ceiling,সিলিং,ছাদ,n:
1871,celebration,সেলিব্রেশন,উদযাপন,1.
1872,central,সেন্ট্রাল,কেন্দ্রীয়,adj
1873,centre,সেন্টার,কেন্দ্রে রাখা,v
1874,ceremony,সেরিমনি,- অনুষ্ঠান,n
1875,chain,ঢেইন,শিকল,n
1876,challenge,চ্যালেঞ্জ,চ্যলেগ,n
1877,champion,ঢ্যাম্পিয়ন,চ্যাম্পিয়ন,n
1878,channel,চ্যানেল,স্যানেল,n:
1879,chapter,ঢ্যাপ্টার,অধ্যায়,n
1880,charge,চার্জ,চাজ; চাজ করা,"n , v"
1881,cheap,চিপ,সস্তা,adv
1882,cheat,চিট,ঠকানো; প্রতারক,"v.,n"
1883,cheerful,চিয়ারফুল,প্রফুল্ল,adj
1884,chemical,কেমিক্যাল,- রাসায়নিক,"adj ,n"
1885,chest,ঢেস্ট,বুক,n
1886,childhood,চাইল্ডহুড,শেশব,n
1887,claim,ক্লেইম,দাবি; দাবি করা,"v ,n."
1888,clause,ক্লজ,ধারা,n
1889,clear,ক্লিয়ার,পরিষ্কার করা,v
1890,click,ক্লিক,ক্লিক; ক্লিক করা,"v.,n"
1891,client,ক্লায়েন্ট,ক্লায়েনট,n:
1892,climb,ক্লাইন,আরোহণ,n
1893,close-,ক্লোজ,কাছাকাছি,adv
1894,cloth,ক্লথ,কাপড়,n
1896,coach,কোচ,কোচিং করানো,v
1897,coal,কোল,কয়লা,n
1898,coin,কয়েন,মুদ্রা,n
1899,collection,কালেকশন,সংগ্রহ,n
1900,coloured,কালাড,রঙিন,adj
1901,combine,কম্বাইন,একত্রিত করা,v
1902,comment,কমেন্ট,মন্তব্য করা,v
1903,commercial,কমাশিয়াল,বাণিজ্যিক,"adj.,n."
1904,commit,কমিট,প্রতিশ্রুতিবদ্ধ হওয়া,V.
1905,communication,কমিউনিকেশন,যোগাযোগ,n
1906,comparison,কম্প্যারিসন,তুলনা,1.
1907,competitor,কম্পিটিটর,প্রতিযোগী,n.
1908,competitive,কম্পিটিটিভ,প্রতিযোগিতামূলক,adj
1909,complaint,কমপ্লেইন্ট,অভিযোগ,n
1910,complex,কমপ্লেক্স,জটিল,adj
1911,concentrate,কনসেনট্রেট,মনোযোগ দেওয়া,v
1912,conclude,কনক্লুড,উপসংহার টানা,V.
1913,conclusion,কনক্লুশন,উপসংহার,n:
1914,confident,কনফিডেন্ট,- আত্মবিশ্বাসী,adj.
1915,confirm,কনফাম,নিশ্চিত করা,v.
1916,confuse,কনফিউজ,বিভ্রান্ত করা,v.
1917,confused,কনফিউজড,বিভ্রান্ত,adj
1918,connection,কানেকশন,সংযোগ,n
1919,consequence,কনসিকোয়েন্স,পরিণতি,n
1920,consist,কনসিস্ট,গঠিত হওয়া,v
1921,consume,কনজিউম,গ্রাস করা,v
1922,consumer,কনজিউমার,োক্তা,n
1923,contact,কন্ট্যাক্,যোগাযোগ; যোগাযোগ করা,"n, V"
1925,content],কন্টেন্ট,- বিষয়়বস্তু,n
1926,continuous,কন্টিনিউয়াস,অবিরাম,adj.
1927,contrast,কন্ট্রাস্ট,- বৈপরীত্য; বৈপরীত্য দেখানো,"n , v."
1928,convenient,কনভেনিয়েন্ট,সুবিধাজনক,adj
1929,convince,কনভিন্স,বিশ্বাস করানো,V.
1930,cool,কুল,ঠান্ডা করা,v
1931,costume,কস্টিউম,পোশাক,n
1932,cottage,কটেজ,কুঁড়েঘর,n
1933,cotton,কটন,তুলা,n
1934,count,কাউন্ট,গণনা,n
1935,countryside,কান্ট্রিসাইড,গ্রামাঞচল,n.
1937,cover,কাভার,ঢাকনা,n
1938,covered,কাভারড,আচ্ছাদিত,adj
1939,cream,ক্রিম,ক্রিম,adj
1940,criminal,ক্রিমিনাল,অপরাধী,adj
1941,cruel,ক্রুয়েল,- নিষ্ঠুর,adj
1942,cultural,কালচারাল,সাংস্কৃতিক,adj.
1943,currency,কারোস,মুদ্রা,n
1944,current,কারেন্ট,বতমান,adj
1945,currently,কারেন্টলি,বতমানে,adv
1946,curtain,কাটেন,পদা,n
1947,custom,কাস্টম,প্রথা,n:
1948,cut,কাট,কাটা,n
1949,daily,ডেইলি,দেনিক,adv
1950,damage,ড্যামেজ,ক্ষতি; ক্ষতি করা,"n.,V."
1951,deal,ডিল,- চুক্তি,n
1952,decade,ডিকেড,দশক,n
1953,decorate,ডেকোরেট,সাজানো,v
1954,deep,ডিপ,গভীরভাবে,adv.
1955,define,ডিফাইন,সংজ্ঞায়িত করা,v
1956,definite,ডেফিনিট,নির্দিষ্ট,adj
1957,definition,ডেফিনিশন,সংজ্ঞা,n
1958,deliver,ডেলিভার,- বিতরণ করা,v
1959,departure,ডিপারচার,প্রস্থান,n
1960,despite,ডেসপাইট,সত্বেও,prep
1961,destination,ডেস্টিনেশন,গন্তব্য,n
1962,determine,ডিটারমিন,নিধারণ করা,V.
1963,determined,ডিটারমাইন্ড,দৃঢ়প্রতিজ্ঞ,adj.
1964,development,ডেভেলপমেন্ট,উন্নয়ন,n.
1965,diagram,ডায়াগ্রাম,চিত্র,n
1966,diamond,ডায়মন্ড,হীরা,n
1967,difficulty,ডিফিকাল্টি,- অসুবিধা,n
1968,direct,ডিরেক,নিদেশ দেওয়া; সরাসরি,"v , adv."
1969,directly,ডিরেক্টলি,সরাসরি,adv
1970,dirt,ডাট,ময়লা,n
1971,disadvantage,ডিসঅ্যাডভান্টেজ,অসুবিধা,n
1972,disappointed,ডিসঅ্যাপয়েন্টেড,হতাশ,adj
1973,disappointing,ডিসঅ্যাপয়েন্টিং,হতাশাজনক,adj
1974,discount,ডিসকাউন্ট,ছাড়,n
1975,dislike,ডিসলাইক,অপছন্দ করা; অপছন্দ,"V.,n"
1976,divide,ডিভাইড,ভাগ করা,v
